course;stop_code;stop_id;stop_name;route_short_name;trip_headsign;direction_id;departure_time;is_theorical;delay_sec;dest_ar_code
268436060;ANTIGRTW;41217;ANTIGONE;1;MOSSON;1;12:18:37;0;47;41101
268436123;ANTIGRTW;41217;ANTIGONE;1;MOSSON;1;12:22:31;0;281;41101
268436228;ANTIGRTW;41217;ANTIGONE;1;MOSSON;1;12:28:12;0;622;41101
268435993;BOUTORTW;41233;BOUTONNET;1;MOSSON;1;12:18:32;0;42;41101
268436028;BOUTORTW;41233;BOUTONNET;1;MOSSON;1;12:19:27;0;97;41101
268436091;BOUTORTW;41233;BOUTONNET;1;MOSSON;1;12:24:41;0;411;41101
268435962;CHATORTW;41243;CHATEAU D'O;1;MOSSON;1;12:19:18;0;88;41101
268435993;CHATORTW;41243;CHATEAU D'O;1;MOSSON;1;12:26:57;0;547;41101
268436028;CHATORTW;41243;CHATEAU D'O;1;MOSSON;1;12:27:53;0;603;41101
268436162;COMEDRTW;41223;COMEDIE;1;MOSSON;1;12:21:10;0;200;41101
268436060;COMEDRTW;41223;COMEDIE;1;MOSSON;1;12:24:34;0;404;41101
268436123;COMEDRTW;41223;COMEDIE;1;MOSSON;1;12:29:05;0;675;41101
268436162;CORUMRTW;41225;CORUM T1;1;MOSSON;1;12:25:10;0;440;41101
268436060;CORUMRTW;41225;CORUM T1;1;MOSSON;1;12:28:43;0;653;41101
268436123;CORUMRTW;41225;CORUM T1;1;MOSSON;1;12:33:05;0;915;41101
268436060;DUGUESCE;41218;DU GUESCLIN;1;MOSSON;1;12:21:16;0;206;41101
268436123;DUGUESCE;41218;DU GUESCLIN;1;MOSSON;1;12:24:51;0;421;41101
268436228;DUGUESCE;41218;DU GUESCLIN;1;MOSSON;1;12:30:34;0;764;41101
268435962;EUROMRTW;41247;EUROMEDECINE;1;MOSSON;1;12:23:18;0;328;41101
268435993;EUROMRTW;41247;EUROMEDECINE;1;MOSSON;1;12:30:57;0;787;41101
268436028;EUROMRTW;41247;EUROMEDECINE;1;MOSSON;1;12:31:53;0;843;41101
268436162;GARERTW;41221;GARE ST-ROCH T1;1;MOSSON;1;12:19:10;0;80;41101
268436060;GARERTW;41221;GARE ST-ROCH T1;1;MOSSON;1;12:22:43;0;293;41101
