course;stop_code;stop_id;stop_name;route_short_name;trip_headsign;direction_id;departure_time;is_theorical;delay_sec;dest_ar_code
268436017;ANTIGRTW;41217;ANTIGONE;1;MOSSON;1;22:25:24;0;599;41101
268435580;ANTIGRTW;41217;ANTIGONE;1;MOSSON;1;22:40:37;0;1512;41101
268435624;ANTIGRTW;41217;ANTIGONE;1;MOSSON;1;22:55:37;0;2412;41101
268435536;BOUTORTW;41233;BOUTONNET;1;MOSSON;1;22:26:12;0;647;41101
268436017;BOUTORTW;41233;BOUTONNET;1;MOSSON;1;22:40:12;0;1487;41101
268435580;BOUTORTW;41233;BOUTONNET;1;MOSSON;1;22:56:13;0;2448;41101
268435850;CHATORTW;41243;CHATEAU D'O;1;MOSSON;1;22:20:52;0;327;41101
268435536;CHATORTW;41243;CHATEAU D'O;1;MOSSON;1;22:35:28;0;1203;41101
268436017;CHATORTW;41243;CHATEAU D'O;1;MOSSON;1;22:49:29;0;2044;41101
268435536;COMEDRTW;41223;COMEDIE;1;MOSSON;1;22:17:27;0;122;41101
268436017;COMEDRTW;41223;COMEDIE;1;MOSSON;1;22:31:19;0;954;41101
268435580;COMEDRTW;41223;COMEDIE;1;MOSSON;1;22:47:00;0;1895;41101
268435536;CORUMRTW;41225;CORUM T1;1;MOSSON;1;22:20:27;0;302;41101
268436017;CORUMRTW;41225;CORUM T1;1;MOSSON;1;22:34:19;0;1134;41101
268435580;CORUMRTW;41225;CORUM T1;1;MOSSON;1;22:50:00;0;2075;41101
268436017;DUGUESCE;41218;DU GUESCLIN;1;MOSSON;1;22:27:16;0;711;41101
268435580;DUGUESCE;41218;DU GUESCLIN;1;MOSSON;1;22:42:57;0;1652;41101
268435624;DUGUESCE;41218;DU GUESCLIN;1;MOSSON;1;22:57:57;0;2552;41101
268435850;EUROMRTW;41247;EUROMEDECINE;1;MOSSON;1;22:24:52;0;567;41101
268435536;EUROMRTW;41247;EUROMEDECINE;1;MOSSON;1;22:39:00;0;1415;41101
268436017;EUROMRTW;41247;EUROMEDECINE;1;MOSSON;1;22:53:29;0;2284;41101
268435536;GARERTW;41221;GARE ST-ROCH T1;1;MOSSON;1;22:15:27;0;2;41101
268436017;GARERTW;41221;GARE ST-ROCH T1;1;MOSSON;1;22:29:19;0;834;41101
268435580;GARERTW;41221;GARE ST-ROCH T1;1;MOSSON;1;22:45:00;0;1775;41101
268436229;HALLPRTW;41253;HALLES PAILLADE;1;MOSSON;1;22:17:31;0;126;41101
268435850;HALLPRTW;41253;HALLES PAILLADE;1;MOSSON;1;22:28:45;0;800;41101
268435536;HALLPRTW;41253;HALLES PAILLADE;1;MOSSON;1;22:43:31;0;1686;41101
268435850;HTMASRTW;41249;HAUTS DE MASSANE;1;MOSSON;1;22:25:33;0;608;41101
268435536;HTMASRTW;41249;HAUTS DE MASSANE;1;MOSSON;1;22:40:13;0;1488;41101
268436017;HTMASRTW;41249;HAUTS DE MASSANE;1;MOSSON;1;22:54:00;0;2315;41101
268435850;LAPEYRTW;41239;HOP. LAPEYRONIE;1;MOSSON;1;22:17:19;0;114;41101
268435536;LAPEYRTW;41239;HOP. LAPEYRONIE;1;MOSSON;1;22:32:10;0;1005;41101
268436017;LAPEYRTW;41239;HOP. LAPEYRONIE;1;MOSSON;1;22:46:10;0;1845;41101
268436017;LBLUMRTW;41215;LEON BLUM;1;MOSSON;1;22:23:22;0;477;41101
268435580;LBLUMRTW;41215;LEON BLUM;1;MOSSON;1;22:38:59;0;1414;41101
268435624;LBLUMRTW;41215;LEON BLUM;1;MOSSON;1;22:53:59;0;2314;41101
268435536;BLANCRTW;41227;LOUIS BLANC;1;MOSSON;1;22:21:16;0;351;41101
268436017;BLANCRTW;41227;LOUIS BLANC;1;MOSSON;1;22:35:16;0;1191;41101
268435580;BLANCRTW;41227;LOUIS BLANC;1;MOSSON;1;22:51:17;0;2152;41101
268435850;MALBORTW;41245;MALBOSC;1;MOSSON;1;22:22:52;0;447;41101
268435536;MALBORTW;41245;MALBOSC;1;MOSSON;1;22:37:28;0;1323;41101
268436017;MALBORTW;41245;MALBOSC;1;MOSSON;1;22:51:29;0;2164;41101
268435580;MILLERTW;41203;MILLENAIRE;1;MOSSON;1;22:29:23;0;838;41101
268435624;MILLERTW;41203;MILLENAIRE;1;MOSSON;1;22:44:23;0;1738;41101
